"hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"0",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0,149,13004,7,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.1343,93,13005,7,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.0896,90,13006,7,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,33,13007,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,4,13008,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,10,13009,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,27,13010,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0,50,13011,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,142,13012,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0,219,13013,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.44,0.2985,366,13014,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.88,0.803,0.39,0.2239,377,13015,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2239,433,13016,7,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,420,13017,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2537,444,13018,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2836,345,13019,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.92,0.8333,0.33,0.2985,313,13020,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.92,0.803,0.26,0.2985,413,13021,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7727,0.32,0.3582,370,13022,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,382,13023,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,332,13024,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.1343,258,13025,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.43,0.1343,151,13026,7,1
"23",FALSE,FALSE,"Light Precipitation",0.78,0.7121,0.52,0.1642,110,13027,7,1
"0",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.2239,43,13028,7,1
"1",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.194,17,13029,7,1
"2",FALSE,TRUE,"Misty",0.74,0.6667,0.51,0.2537,15,13030,7,1
"3",FALSE,TRUE,"Misty",0.72,0.6667,0.54,0.4179,5,13031,7,1
"4",FALSE,TRUE,"Misty",0.72,0.6667,0.54,0.2985,12,13032,7,1
"5",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0,40,13033,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1045,136,13034,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,398,13035,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.194,568,13036,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.2537,295,13037,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.43,0.2537,174,13038,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.28,0.2985,201,13039,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.194,257,13040,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.2239,236,13041,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.2239,230,13042,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7424,0.36,0.194,234,13043,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7424,0.36,0.2836,365,13044,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.1343,747,13045,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7273,0.32,0.1642,730,13046,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.43,0.1343,581,13047,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.43,0.1343,395,13048,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1343,258,13049,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,188,13050,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,102,13051,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0,53,13052,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,14,13053,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,10,13054,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1343,2,13055,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1045,6,13056,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0,35,13057,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1343,154,13058,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0,483,13059,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.0896,646,13060,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,272,13061,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2239,209,13062,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.194,217,13063,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7576,0.28,0.194,272,13064,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7727,0.25,0.1343,283,13065,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.7727,0.25,0.194,310,13066,7,1
"15",FALSE,TRUE,"Misty",0.9,0.7727,0.24,0,401,13067,7,1
"16",FALSE,TRUE,"Misty",0.9,0.7727,0.24,0.194,527,13068,7,1
"17",FALSE,TRUE,"Misty",0.86,0.7424,0.3,0.1642,722,13069,7,1
"18",FALSE,TRUE,"Misty",0.86,0.7424,0.3,0,627,13070,7,1
"19",FALSE,TRUE,"Misty",0.84,0.7424,0.36,0.1343,497,13071,7,1
"20",FALSE,TRUE,"Light Precipitation",0.76,0.697,0.55,0.4925,376,13072,7,1
"21",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0.2836,196,13073,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,177,13074,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,171,13075,7,1
"0",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.0896,159,13076,7,1
"1",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.74,0,123,13077,7,1
"2",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,93,13078,7,1
"3",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.74,0.194,32,13079,7,1
"4",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.69,0.2537,16,13080,7,1
"5",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0,19,13081,7,1
"6",TRUE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0,32,13082,7,1
"7",TRUE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.65,0,72,13083,7,1
"8",TRUE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1045,153,13084,7,1
"9",TRUE,FALSE,"Clear to partly cloudy",0.76,0.697,0.52,0,293,13085,7,1
"10",TRUE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0,447,13086,7,1
"11",TRUE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1343,485,13087,7,1
"12",TRUE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,494,13088,7,1
"13",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.35,0,499,13089,7,1
"14",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.1642,547,13090,7,1
"15",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2985,454,13091,7,1
"16",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2537,389,13092,7,1
"17",TRUE,FALSE,"Clear to partly cloudy",0.92,0.8485,0.35,0.2985,414,13093,7,1
"18",TRUE,FALSE,"Clear to partly cloudy",0.9,0.8485,0.42,0.194,430,13094,7,1
"19",TRUE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2239,432,13095,7,1
"20",TRUE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2239,551,13096,7,1
"21",TRUE,FALSE,"Clear to partly cloudy",0.84,0.803,0.53,0.1343,584,13097,7,1
"22",TRUE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.2239,502,13098,7,1
"23",TRUE,FALSE,"Misty",0.78,0.697,0.43,0.0896,183,13099,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1045,88,13100,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.2836,30,13101,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0,18,13102,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.194,7,13103,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,7,13104,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0,29,13105,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0,133,13106,7,1
